20160723,93,65
20160724,93,63
20160725,95,64
20160726,98,62
20160727,96,64
20160728,97,66
20160729,96,67
20160730,91,69
20160731,93,67
20160801,96,69
20160802,95,68
20160803,93,64
20160804,86,62
20160805,86,64
20160806,89,65
20160807,91,69
20160808,91,67
20160809,87,65
20160810,83,62
20160811,83,60
20160812,87,56
20160813,90,58
20160814,93,58
20160815,90,63
20160816,91,63
20160817,89,65
20160818,92,63
20160819,93,62
20160820,91,64
20160821,89,62
20160822,90,65
20160823,87,62
20160824,85,58
20160825,83,54
20160826,85,55
20160827,85,56
20160828,89,57
20160829,89,56
20160830,90,63
20160831,91,64
20160901,90,65
20160902,87,61
20160903,87,62
20160904,84,59
20160905,82,53
20160906,80,51
20160907,82,54
20160908,77,52
20160909,84,50
20160910,82,46
20160911,88,51
20160912,85,52
20160913,80,51
20160914,69,51
20160915,65,48
20160916,71,52
20160917,75,53
20160918,79,55
20160919,85,56
20160920,83,57
20160921,77,59
20160922,69,51
20160923,63,48
20160924,59,43
20160925,66,41
20160926,73,46
20160927,80,49
20160928,79,57
20160929,77,56
20160930,78,58
20161001,76,55
20161002,68,47
20161003,65,44
20161004,58,35
20161005,59,36
20161006,59,35
20161007,67,39
20161008,73,40
20161009,74,43
20161010,76,50
20161011,69,56
20161012,68,43
20161013,69,45
20161014,70,41
20161015,68,43
20161016,64,44
20161017,66,44
20161018,59,38
20161019,65,41
20161020,68,43
20161021,71,42
20161022,70,41
20161023,68,48
20161024,64,53
20161025,66,46
20161026,72,45
20161027,72,51
20161028,69,48
20161029,71,51
20161030,63,49
20161031,67,50
20161101,54,35
20161102,59,35
20161103,62,34
20161104,64,37
20161105,65,39
20161106,68,38
20161107,67,40
20161108,68,40
20161109,67,41
20161110,68,42
20161111,67,40
20161112,65,41
20161113,64,38
20161114,65,38
20161115,68,40
20161116,69,37
20161117,37,29
20161118,45,21
20161119,57,33
20161120,61,40
20161121,50,41
20161122,49,32
20161123,51,31
20161124,48,29
20161125,53,33
20161126,53,36
20161127,45,33
20161128,36,29
20161129,36,24
20161130,37,21
20161201,36,28
20161202,37,25
20161203,33,20
20161204,34,25
20161205,42,27
20161206,36,18
20161207,30,18
20161208,37,29
20161209,41,36
20161210,46,33
20161211,46,31
20161212,41,29
20161213,44,26
20161214,38,32
20161215,56,34
20161216,49,31
20161217,31,14
20161218,25,9
20161219,29,9
20161220,40,19
20161221,34,29
20161222,35,26
20161223,41,27
20161224,42,29
20161225,31,22
20161226,28,19
20161227,30,10
20161228,41,20
20161229,38,16
20161230,37,19
20161231,27,15
20170101,33,16
20170102,33,21
20170103,41,20
20170104,41,28
20170105,29,10
20170106,27,7
20170107,33,24
20170108,39,26
20170109,51,33
20170110,45,32
20170111,46,33
20170112,37,30
20170113,45,27
20170114,36,30
20170115,32,26
20170116,48,32
20170117,35,18
20170118,40,17
20170119,36,28
20170120,37,28
20170121,36,29
20170122,36,18
20170123,40,31
20170124,35,24
20170125,29,22
20170126,34,19
20170127,29,11
20170128,27,9
20170129,27,7
20170130,33,9
20170131,36,10
20170201,45,22
20170202,45,29
20170203,49,34
20170204,55,37
20170205,54,33
20170206,49,41
20170207,50,40
20170208,57,40
20170209,62,43
20170210,61,43
20170211,43,31
20170212,42,27
20170213,41,25
20170214,49,25
20170215,54,27
20170216,58,31
20170217,56,38
20170218,54,43
20170219,48,42
20170220,53,35
20170221,55,33
20170222,40,30
20170223,31,22
20170224,31,21
20170225,33,19
